Date,PL
2017/11/16,30463
2017/11/17,30555
2017/11/18,26189
2017/11/19,24644
2017/11/20,28771
2017/11/21,29432
2017/11/22,28955
2017/11/23,28469
2017/11/24,28326
2017/11/25,25668
2017/11/26,24769
2017/11/27,28917
2017/11/28,29698
2017/11/29,29530
2017/11/30,29186
2017/12/1,28525
2017/12/2,25628
2017/12/3,24512
2017/12/4,28274
2017/12/5,28243
2017/12/6,28455
2017/12/7,28625
2017/12/8,27863
2017/12/9,25500
2017/12/10,24230
2017/12/11,27706
2017/12/12,28558
2017/12/13,28433
2017/12/14,28558
2017/12/15,28405
2017/12/16,25515
2017/12/17,24444
2017/12/18,28210
2017/12/19,28665
2017/12/20,28082
2017/12/21,28219
2017/12/22,27748
2017/12/23,25193
2017/12/24,24260
2017/12/25,27939
2017/12/26,28461
2017/12/27,28022
2017/12/28,28229
2017/12/29,27369
2017/12/30,24718
2017/12/31,23319
2018/1/1,23638
2018/1/2,27816
2018/1/3,28253
2018/1/4,28757
2018/1/5,28260
2018/1/6,26062
2018/1/7,25011
2018/1/8,28801
2018/1/9,28910
2018/1/10,28410
2018/1/11,28583
2018/1/12,28093
2018/1/13,25694
2018/1/14,24705
2018/1/15,28269
2018/1/16,28285
2018/1/17,28340
2018/1/18,29076
2018/1/19,28467
2018/1/20,25883
2018/1/21,24695
2018/1/22,28264
2018/1/23,28381
2018/1/24,28228
2018/1/25,28352
2018/1/26,27537
2018/1/27,25383
2018/1/28,24535
2018/1/29,28397
2018/1/30,28606
2018/1/31,28364
2018/2/1,28521
2018/2/2,28202
2018/2/3,26353
2018/2/4,26273
2018/2/5,29059
2018/2/6,28510
2018/2/7,28889
2018/2/8,28436
2018/2/9,28302
2018/2/10,26015
2018/2/11,25349
2018/2/12,27324
2018/2/13,26300
2018/2/14,23482
2018/2/15,20979
2018/2/16,20759
2018/2/17,20282
2018/2/18,20987
2018/2/19,22071
2018/2/20,23261
2018/2/21,26510
2018/2/22,27283
2018/2/23,27093
2018/2/24,25317
2018/2/25,24690
2018/2/26,27435
2018/2/27,27818
2018/2/28,26394
2018/3/1,28372
2018/3/2,28143
2018/3/3,26052
2018/3/4,25431
2018/3/5,29460
2018/3/6,27989
2018/3/7,28469
2018/3/8,27944
2018/3/9,27617
2018/3/10,24946
2018/3/11,24245
2018/3/12,27935
2018/3/13,28418
2018/3/14,28536
2018/3/15,28941
2018/3/16,28620
2018/3/17,25794
2018/3/18,24808
2018/3/19,29102
2018/3/20,28823
2018/3/21,27699
2018/3/22,27982
2018/3/23,27642
2018/3/24,25149
2018/3/25,24573
2018/3/26,28383
2018/3/27,28602
2018/3/28,28752
2018/3/29,28983
2018/3/30,28897
2018/3/31,27845
2018/4/1,25072
2018/4/2,29047
2018/4/3,29267
2018/4/4,26121
2018/4/5,24981
2018/4/6,24450
2018/4/7,23940
2018/4/8,23895
2018/4/9,28232
2018/4/10,28728
2018/4/11,30193
2018/4/12,30645
2018/4/13,31068
2018/4/14,27721
2018/4/15,24630
2018/4/16,28365
2018/4/17,28399
2018/4/18,28521
